 934.00 572.75 468.00 466.00  390.67 374.25 348.00 365.25  304.75 304.50 331.50 329.50
 951.75 573.00 468.75 468.25  390.67 375.25 349.00 367.75  306.75 305.75 332.25 330.25
 969.25 591.25 499.75 485.75  403.00 394.25 354.00 374.75  325.00 305.75 333.50 332.00
 987.25 591.50 500.50 496.75  403.00 394.75 355.50 379.00  326.25 306.75 334.75 336.00
 1005.00 614.00 500.75 497.25  414.67 395.50 358.00 381.00  328.25 307.50 335.50 337.75
 1022.75 614.25 501.00 498.00  415.00 398.75 359.25 385.00  330.50 308.00 336.75 338.00
 1042.25 641.75 531.75 538.75  427.00 418.00 401.50 395.75  348.75 345.25 339.00 339.50
 1061.75 641.75 532.00 540.25  427.00 418.75 403.00 400.25  351.50 346.00 339.50 339.75
 1079.75 660.50 540.50 541.75  440.00 422.25 404.25 402.25  352.00 348.00 340.00 340.00
 1097.25 660.75 540.75 547.00  440.00 424.25 404.25 405.00  353.75 348.00 340.50 342.00
 1115.00 679.50 573.25 561.50  452.00 445.25 405.00 409.25  372.50 349.00 341.25 343.00
 1133.00 679.75 574.00 567.25  452.33 447.50 406.50 412.25  374.25 349.50 341.50 344.00
 1151.00 701.75 574.25 569.00  464.67 449.50 406.75 413.00  375.75 349.75 341.50 345.75
 1170.75 702.25 574.25 569.25  465.00 450.00 406.75 413.00  377.25 350.50 341.75 346.00
