"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
10.985,2.967,85.985,0.0,0.0,0.063,362.0,106.0,564171.0,88367998.0,949309.0,184098854.0,8913575936.0,413810688.0,5621145600.0,10374766592.0,0.0,0.0
10.613,3.095,79.469,6.759,0.0,0.063,234.0,106.0,549452.0,120862569.0,956183.0,234224370.0,8914006016.0,413810688.0,5621293056.0,10374189056.0,0.0,114688.0
3.019,3.459,80.943,12.453,0.0,0.126,256.0,0.0,513915.0,108040311.0,894207.0,213132380.0,8913297408.0,413810688.0,5621293056.0,10374897664.0,0.0,0.0
0.189,0.442,86.814,12.555,0.0,0.0,436.0,0.0,507907.0,108282312.0,873345.0,205868291.0,8913358848.0,413810688.0,5621301248.0,10374828032.0,0.0,0.0
0.189,0.252,86.894,12.602,0.0,0.063,676.0,0.0,429755.0,76195707.0,733638.0,150128847.0,8912932864.0,413810688.0,5621301248.0,10375254016.0,0.0,0.0
0.252,0.315,89.792,9.641,0.0,0.0,770.0,212.0,413322.0,75183864.0,682684.0,140004003.0,8911503360.0,413810688.0,5621305344.0,10376679424.0,0.0,0.0
0.0,0.125,92.991,6.884,0.0,0.0,256.0,0.0,74602.0,17181130.0,108692.0,28841838.0,8910983168.0,413810688.0,5621305344.0,10377199616.0,0.0,102400.0
0.0,0.063,93.672,6.266,0.0,0.0,490.0,0.0,64086.0,17320734.0,122570.0,36943154.0,8910966784.0,413810688.0,5621305344.0,10377216000.0,0.0,0.0
0.063,0.063,93.613,6.262,0.0,0.0,256.0,0.0,89860.0,23802726.0,154148.0,45433332.0,8910331904.0,413810688.0,5621305344.0,10377850880.0,0.0,0.0
0.0,0.125,93.676,6.199,0.0,0.0,248.0,198.0,68228.0,18933622.0,119852.0,37014700.0,8910069760.0,413810688.0,5621305344.0,10378113024.0,0.0,0.0
0.063,0.063,93.985,5.890,0.0,0.0,718.0,106.0,74430.0,20371102.0,125952.0,37344758.0,8910258176.0,413810688.0,5621305344.0,10377924608.0,0.0,0.0
0.376,1.753,96.681,1.064,0.0,0.125,388.0,0.0,13612.0,954204.0,-609245129.0,-542361667.0,3313324032.0,413810688.0,5621268480.0,15974895616.0,0.0,126976.0
