 869.50 499.00 340.25 320.00  605.50 402.25 321.25 315.25  404.00 290.75 278.25 279.50  284.75 265.75 268.00 501.50
 920.25 501.00 342.25 325.75  609.75 406.50 330.25 332.50  410.00 298.00 294.00 280.50  294.00 283.00 269.75 502.00
 970.50 551.25 347.50 329.25  672.25 411.25 334.25 335.50  414.50 301.75 297.00 281.75  299.25 294.25 270.75 502.75
 1021.75 551.75 348.25 338.00  673.75 415.25 336.25 346.25  419.25 306.25 302.75 283.75  303.75 298.00 272.00 504.00
 1074.25 602.25 406.50 353.25  734.75 480.00 339.00 348.00  486.00 307.50 308.00 287.00  306.25 302.50 272.75 505.50
 1124.25 604.50 406.75 365.50  737.25 484.50 342.00 353.75  493.00 311.50 313.75 288.50  309.25 304.75 274.00 512.50
 1175.25 656.25 407.50 366.75  796.50 491.50 346.25 357.25  495.75 313.50 315.25 289.50  312.75 308.00 276.50 513.50
 1225.50 658.00 408.00 371.00  800.25 495.75 351.25 368.50  502.25 319.50 319.50 291.25  314.75 310.50 278.50 514.25
 1277.75 715.75 471.75 448.25  862.50 561.25 427.00 373.25  571.25 393.25 322.25 291.50  392.00 315.00 280.25 515.25
 1329.75 716.75 473.25 450.50  868.25 566.75 435.00 380.50  577.00 404.25 324.00 292.50  400.50 319.25 282.00 517.50
 1380.25 766.50 485.00 453.75  930.50 572.00 437.75 383.25  580.25 408.50 328.75 294.50  405.50 320.25 283.25 520.00
 1432.00 768.75 486.25 459.00  933.75 580.00 450.50 386.75  590.00 415.25 331.00 297.50  412.00 323.50 284.75 520.50
 1481.75 819.25 542.75 485.75  998.75 655.00 453.50 392.50  653.25 418.75 334.25 300.25  414.25 326.00 285.50 521.00
 1532.00 821.50 544.00 489.00  1002.50 659.00 454.50 397.00  662.25 421.25 335.25 302.50  414.50 328.00 288.75 522.00
 1584.75 871.75 544.75 491.25  1066.00 660.75 456.75 398.25  669.00 424.00 336.50 304.75  418.75 330.50 291.25 522.75
 1636.00 874.00 545.50 492.00  1067.50 665.00 463.00 399.25  674.25 426.00 338.50 311.50  422.50 333.25 295.00 523.25
 1689.50 934.50 609.25 571.25  1130.00 734.25 548.25 522.50  745.25 504.25 462.25 514.50  500.50 448.75 484.50 524.50
 1740.50 936.25 611.25 576.00  1133.50 740.25 556.50 535.00  751.25 513.00 476.00 526.00  507.00 455.00 508.75 525.50
 1792.50 985.75 617.00 579.00  1193.75 746.25 560.75 540.00  753.50 516.00 483.25 541.75  512.00 459.25 517.75 526.00
 1842.75 989.25 617.75 581.00  1196.25 748.75 567.00 548.50  759.75 518.50 488.50 544.50  513.75 462.50 520.75 526.50
 1894.75 1041.50 672.75 602.50	1259.25 810.50 570.75 553.25  825.50 521.50 492.00 553.75  516.75 465.25 525.25 527.00
 1945.75 1043.50 673.75 613.00	1260.25 817.75 573.25 560.75  830.75 525.25 493.50 557.50  522.00 467.50 528.25 528.25
 1994.50 1093.50 674.25 616.25	1323.75 821.75 581.25 564.75  836.50 528.50 497.00 560.25  523.75 470.50 535.00 529.25
 2044.50 1097.25 674.75 617.25	1326.25 833.00 586.50 567.75  840.50 532.25 498.50 564.25  526.50 474.00 538.25 529.75
 2098.50 1154.75 741.75 702.50	1388.75 896.00 664.00 572.00  905.25 604.00 501.75 567.00  600.75 477.50 540.50 530.75
 2149.75 1156.25 742.50 703.75	1391.00 900.75 671.50 581.75  912.75 616.25 506.25 569.00  612.00 480.00 546.00 531.25
