"","Date","Open","High","Low","Close","Volume"
"148","20-Aug-13",509.71,510.57,500.82,501.07,12810249
"149","19-Aug-13",504.34,513.74,504,507.74,18232783
"150","16-Aug-13",500.15,502.94,498.86,502.33,12939408
"151","15-Aug-13",496.42,502.4,489.08,497.91,17510501
"152","14-Aug-13",497.88,504.25,493.4,498.5,27013273
"153","13-Aug-13",470.94,494.66,468.05,489.57,31497848
"154","12-Aug-13",456.86,468.65,456.63,467.36,13015470
"155","9-Aug-13",458.64,460.46,453.65,454.45,9557887
"156","8-Aug-13",463.86,464.1,457.95,461.01,9142834
"157","7-Aug-13",463.8,467,461.77,464.98,10673424
"158","6-Aug-13",468.02,471.89,462.17,465.25,11961220
"159","5-Aug-13",464.69,470.67,462.15,469.45,11387656
"160","2-Aug-13",458.01,462.85,456.66,462.54,9813618
"161","1-Aug-13",455.75,456.8,453.26,456.68,7366046
"162","31-Jul-13",454.99,457.34,449.43,452.53,11534193
"163","30-Jul-13",449.96,457.15,449.23,453.32,11050795
"164","29-Jul-13",440.8,449.99,440.2,447.79,8872900
"165","26-Jul-13",435.3,441.04,434.34,440.99,7152679
"166","25-Jul-13",440.7,441.4,435.81,438.5,8202948
"167","24-Jul-13",438.93,444.59,435.26,440.51,21144832
"168","23-Jul-13",426,426.96,418.71,418.99,13192629
"169","22-Jul-13",429.46,429.75,425.47,426.31,7428228
"170","19-Jul-13",433.1,433.98,424.35,424.95,9599245
"171","18-Jul-13",433.38,434.87,430.61,431.76,7822974
"172","17-Jul-13",429.7,432.22,428.22,430.31,7109152
"173","16-Jul-13",426.52,430.71,424.17,430.2,7733481
"174","15-Jul-13",425.01,431.46,424.8,427.44,8649015
"175","12-Jul-13",427.65,429.79,423.41,426.51,9987209
"176","11-Jul-13",422.95,428.25,421.17,427.29,11659852
"177","10-Jul-13",419.6,424.8,418.25,420.73,10050117
"178","9-Jul-13",413.6,423.5,410.38,422.35,12596034
"179","8-Jul-13",420.11,421,410.65,415.05,10654060
"180","5-Jul-13",420.39,423.29,415.35,417.42,9788680
"181","3-Jul-13",420.86,422.98,417.45,420.8,8604594
"182","2-Jul-13",409.96,421.63,409.47,418.49,16788797
"183","1-Jul-13",402.69,412.27,401.22,409.22,13970435
"184","28-Jun-13",391.36,400.27,388.87,396.53,20665631
"185","27-Jun-13",399.25,401.39,393.54,393.78,12050007
"186","26-Jun-13",403.9,404.79,395.66,398.07,13140939
"187","25-Jun-13",405.7,407.79,398.83,402.63,11226398
"188","24-Jun-13",407.4,408.66,398.05,402.54,17169490
"189","21-Jun-13",418.49,420,408.1,413.5,17185334
"190","20-Jun-13",419.3,425.98,415.17,416.84,12767794
"191","19-Jun-13",431.4,431.66,423,423,11108255
"192","18-Jun-13",431.56,434.9,430.21,431.77,6970064
"193","17-Jun-13",431.44,435.7,430.36,432,9265779
"194","14-Jun-13",435.4,436.29,428.5,430.05,9381840
"195","13-Jun-13",432.5,437.14,428.75,435.96,10218298
"196","12-Jun-13",439.5,441.25,431.5,432.19,9479524
