"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.378,0.882,98.677,0.0,0.0,0.063,500.0,0.0,69468991.0,274564.0,136498004.0,536324.0,5579120640.0,412139520.0,4879450112.0,14452588544.0,0.0,0.0
0.379,0.883,98.738,0.0,0.0,0.0,308.0,0.0,70964459.0,280030.0,136968785.0,541536.0,5646229504.0,412139520.0,4879450112.0,14385479680.0,0.0,0.0
0.441,0.882,98.551,0.0,0.0,0.126,504.0,198.0,69432743.0,299468.0,138850715.0,571048.0,5719756800.0,412139520.0,4879450112.0,14311952384.0,0.0,0.0
0.379,0.694,98.738,0.126,0.0,0.063,192.0,0.0,69771210.0,274284.0,134244212.0,524432.0,5788991488.0,412139520.0,4879450112.0,14242717696.0,0.0,20480.0
0.378,0.945,98.614,0.0,0.0,0.063,776.0,106.0,70092069.0,276132.0,138759376.0,545136.0,5866856448.0,412139520.0,4879450112.0,14164852736.0,0.0,12288.0
0.441,0.882,98.552,0.0,0.0,0.126,542.0,0.0,70128846.0,276622.0,136135463.0,533652.0,5936189440.0,412139520.0,4879450112.0,14095519744.0,0.0,0.0
0.441,0.757,98.739,0.0,0.0,0.063,192.0,0.0,68180202.0,268088.0,134875206.0,594264.0,6007619584.0,412139520.0,4879450112.0,14024089600.0,0.0,0.0
0.441,0.820,98.676,0.0,0.0,0.063,700.0,106.0,72384601.0,352104.0,140188081.0,616786.0,6078418944.0,412139520.0,4879450112.0,13953290240.0,0.0,0.0
0.378,0.820,98.802,0.0,0.0,0.0,1586.0,106.0,67270957.0,265754.0,133215497.0,523556.0,6145781760.0,412139520.0,4879450112.0,13885927424.0,0.0,0.0
0.504,0.756,98.489,0.126,0.0,0.126,320.0,0.0,71038678.0,280052.0,137725183.0,539178.0,6217236480.0,412139520.0,4879450112.0,13814472704.0,0.0,28672.0
0.441,0.882,98.678,0.0,0.0,0.0,256.0,0.0,69452960.0,274386.0,135826462.0,535228.0,6282248192.0,412139520.0,4879450112.0,13749460992.0,0.0,0.0
0.378,0.883,98.676,0.0,0.0,0.063,776.0,106.0,68847674.0,271688.0,135983590.0,536796.0,6353686528.0,412139520.0,4879450112.0,13678022656.0,0.0,0.0
0.315,0.820,98.801,0.0,0.0,0.063,298.0,106.0,70633696.0,277714.0,136081421.0,532122.0,6425116672.0,412139520.0,4879450112.0,13606592512.0,0.0,0.0
0.504,0.694,98.739,0.0,0.0,0.063,128.0,0.0,69464886.0,273892.0,138556333.0,542654.0,6494449664.0,412139520.0,4879450112.0,13537259520.0,0.0,0.0
