"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.125,0.188,99.687,0.0,0.0,0.0,192.0,0.0,143102.0,35155859.0,250776.0,68517684.0,6415745024.0,412123136.0,5178908672.0,13316521984.0,0.0,0.0
0.188,0.251,99.498,0.063,0.0,0.0,340.0,212.0,140200.0,34539388.0,246924.0,67007432.0,6418219008.0,412123136.0,5178908672.0,13314048000.0,0.0,36864.0
0.188,0.188,99.624,0.0,0.0,0.0,192.0,0.0,144196.0,35418658.0,256472.0,69691614.0,6418255872.0,412123136.0,5178908672.0,13314011136.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,128.0,0.0,138660.0,33700223.0,244676.0,66514099.0,6417260544.0,412123136.0,5178908672.0,13315006464.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,308.0,0.0,146010.0,35178075.0,255662.0,68689656.0,6416916480.0,412123136.0,5178908672.0,13315350528.0,0.0,4096.0
0.125,0.188,99.686,0.0,0.0,0.0,428.0,198.0,141548.0,35128655.0,275550.0,68920509.0,6416252928.0,412123136.0,5178908672.0,13316014080.0,0.0,0.0
0.188,0.313,99.436,0.063,0.0,0.0,410.0,106.0,146330.0,35383377.0,255568.0,69073193.0,6417727488.0,412123136.0,5178908672.0,13314539520.0,0.0,36864.0
0.125,0.125,99.749,0.0,0.0,0.0,192.0,0.0,143457.0,35205498.0,251381.0,68736223.0,6417178624.0,412123136.0,5178925056.0,13315072000.0,0.0,0.0
0.188,0.125,99.624,0.0,0.0,0.063,432.0,0.0,143373.0,35169566.0,252401.0,66236449.0,6418178048.0,412123136.0,5178929152.0,13314068480.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,362.0,106.0,138675.0,31772802.0,237772.0,61489805.0,6417661952.0,412123136.0,5178929152.0,13314584576.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,128.0,0.0,130801.0,30872862.0,230101.0,60794130.0,6416920576.0,412123136.0,5178929152.0,13315325952.0,0.0,8192.0
0.251,0.188,99.498,0.063,0.0,0.0,414.0,106.0,135297.0,33552002.0,244186.0,66949913.0,6418051072.0,412123136.0,5178929152.0,13314195456.0,0.0,53248.0
0.063,0.188,99.749,0.0,0.0,0.0,308.0,0.0,132242.0,32099245.0,232637.0,62583195.0,6418141184.0,412123136.0,5178933248.0,13314101248.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,170.0,106.0,145748.0,35680065.0,257912.0,70813756.0,6417506304.0,412123136.0,5178929152.0,13314740224.0,0.0,0.0
0.125,0.125,99.687,0.0,0.0,0.063,64.0,0.0,130910.0,31788626.0,229305.0,61929840.0,6416883712.0,412123136.0,5178929152.0,13315362816.0,0.0,0.0
0.125,0.188,99.686,0.0,0.0,0.0,64.0,0.0,152378.0,37721557.0,272345.0,74193624.0,6416396288.0,412123136.0,5178929152.0,13315850240.0,0.0,0.0
0.251,0.188,99.373,0.125,0.0,0.063,234.0,106.0,132376.0,31719687.0,229898.0,61940350.0,6416850944.0,412123136.0,5178929152.0,13315395584.0,0.0,57344.0
0.125,0.188,99.686,0.0,0.0,0.0,234.0,106.0,152676.0,37004541.0,267587.0,72058390.0,6416683008.0,412123136.0,5178933248.0,13315559424.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,330.0,0.0,133042.0,32983149.0,236249.0,64899036.0,6416515072.0,412123136.0,5178929152.0,13315731456.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,180.0,0.0,149352.0,36534884.0,264652.0,71648757.0,6416859136.0,412123136.0,5178929152.0,13315387392.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,128.0,0.0,137705.0,33655982.0,266784.0,65769271.0,6415814656.0,412123136.0,5178929152.0,13316431872.0,0.0,0.0
0.251,0.376,99.185,0.188,0.0,0.0,532.0,106.0,152502.0,36483022.0,264071.0,70446187.0,6417907712.0,412123136.0,5178929152.0,13314338816.0,0.0,45056.0
0.125,0.188,99.686,0.0,0.0,0.0,234.0,106.0,136912.0,33940255.0,243692.0,67306406.0,6417031168.0,412123136.0,5178941440.0,13315203072.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,368.0,0.0,141123.0,34182142.0,247088.0,66055235.0,6416666624.0,412123136.0,5178941440.0,13315567616.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,448.0,0.0,146649.0,36096420.0,261826.0,71246987.0,6416920576.0,412123136.0,5178941440.0,13315313664.0,0.0,0.0
0.188,0.188,99.562,0.0,0.0,0.063,492.0,198.0,139060.0,33594060.0,244324.0,65410710.0,6415970304.0,412123136.0,5178953728.0,13316251648.0,0.0,0.0
0.126,0.314,99.498,0.063,0.0,0.0,414.0,174.0,150702.0,36730073.0,263543.0,71873974.0,6415613952.0,412123136.0,5178953728.0,13316608000.0,0.0,53248.0
0.188,0.439,99.373,0.0,0.0,0.0,246.0,0.0,134270.0,32233856.0,235221.0,62845033.0,6416048128.0,412123136.0,5178953728.0,13316173824.0,0.0,0.0
0.125,0.816,99.059,0.0,0.0,0.0,128.0,0.0,151462.0,37199119.0,265322.0,72364342.0,6416183296.0,412123136.0,5178953728.0,13316038656.0,0.0,0.0
0.125,2.694,97.180,0.0,0.0,0.0,170.0,106.0,132734.0,32837656.0,235967.0,64852246.0,6415982592.0,412123136.0,5178966016.0,13316227072.0,0.0,0.0
0.188,3.193,96.619,0.0,0.0,0.0,128.0,0.0,150456.0,36684891.0,266517.0,71641134.0,6415155200.0,412123136.0,5178982400.0,13317038080.0,0.0,0.0
0.188,0.251,99.498,0.063,0.0,0.0,362.0,174.0,138048.0,33490410.0,241714.0,65837775.0,6416285696.0,412123136.0,5178982400.0,13315907584.0,0.0,36864.0
0.188,0.188,99.561,0.0,0.0,0.063,484.0,0.0,150710.0,37036231.0,265715.0,72049953.0,6416203776.0,412123136.0,5178990592.0,13315981312.0,0.0,4096.0
0.188,0.188,99.624,0.0,0.0,0.0,478.0,106.0,138483.0,33854196.0,244424.0,66620434.0,6415740928.0,412123136.0,5178998784.0,13316435968.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,128.0,0.0,145847.0,35365304.0,253989.0,68281733.0,6416244736.0,412123136.0,5178998784.0,13315932160.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,64.0,0.0,143822.0,35629429.0,279593.0,70267992.0,6415052800.0,412123136.0,5178998784.0,13317124096.0,0.0,0.0
0.126,0.251,99.498,0.126,0.0,0.0,410.0,106.0,140621.0,33765807.0,246694.0,65856846.0,6415990784.0,412123136.0,5178998784.0,13316186112.0,0.0,36864.0
0.188,0.251,99.561,0.0,0.0,0.0,234.0,106.0,151249.0,37039729.0,265429.0,72601379.0,6415843328.0,412123136.0,5179002880.0,13316329472.0,0.0,0.0
0.188,0.251,99.561,0.0,0.0,0.0,192.0,0.0,132850.0,32234774.0,234521.0,62903435.0,6415478784.0,412123136.0,5179015168.0,13316681728.0,0.0,8192.0
0.125,0.188,99.686,0.0,0.0,0.0,564.0,0.0,153470.0,37412371.0,268953.0,72818655.0,6415298560.0,412123136.0,5179015168.0,13316861952.0,0.0,0.0
0.188,0.188,99.562,0.0,0.0,0.063,244.0,0.0,135094.0,33284790.0,242108.0,65553623.0,6415335424.0,412123136.0,5179031552.0,13316808704.0,0.0,0.0
0.251,0.313,99.311,0.125,0.0,0.0,538.0,106.0,154266.0,37130738.0,270535.0,72557260.0,6416388096.0,412123136.0,5179031552.0,13315756032.0,0.0,49152.0
0.188,0.188,99.624,0.0,0.0,0.0,106.0,106.0,139732.0,33822441.0,244533.0,66040143.0,6415671296.0,412123136.0,5179027456.0,13316476928.0,0.0,0.0
0.251,0.251,99.499,0.0,0.0,0.0,128.0,0.0,151618.0,36861788.0,267288.0,71692543.0,6416224256.0,412123136.0,5179031552.0,13315919872.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,64.0,0.0,139646.0,33914675.0,247791.0,66843658.0,6415507456.0,412123136.0,5179031552.0,13316636672.0,0.0,16384.0
0.188,0.188,99.561,0.0,0.0,0.063,270.0,92.0,144860.0,35046161.0,252603.0,67888325.0,6416048128.0,412123136.0,5179031552.0,13316096000.0,0.0,0.0
0.188,0.313,99.373,0.125,0.0,0.0,328.0,212.0,143403.0,35630204.0,254001.0,69957600.0,6416560128.0,412123136.0,5179031552.0,13315584000.0,0.0,36864.0
0.188,0.251,99.561,0.0,0.0,0.0,372.0,0.0,137717.0,33567879.0,242574.0,65144271.0,6416293888.0,412123136.0,5179031552.0,13315850240.0,0.0,0.0
0.188,0.188,99.561,0.0,0.0,0.063,214.0,0.0,150448.0,36679155.0,263907.0,72243635.0,6416760832.0,412123136.0,5179031552.0,13315383296.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,298.0,106.0,131675.0,32048424.0,254673.0,62584306.0,6416400384.0,412123136.0,5179031552.0,13315743744.0,0.0,0.0
