 479.00 285.50 237.75 249.25  309.00 240.25 208.50 233.75  219.50 185.25 190.00 177.00  170.25 172.50 158.75 303.25
 501.75 315.00 272.25 312.00  328.75 262.50 237.75 239.00  244.25 222.00 192.75 179.50  211.00 173.25 159.50 303.50
 521.75 315.75 273.50 314.00  333.50 269.75 249.25 241.25  248.25 225.75 193.50 179.75  212.25 175.50 159.75 304.00
 540.75 335.50 280.50 317.50  352.50 274.00 255.75 247.25  252.25 228.25 194.25 182.75  215.25 176.75 160.25 304.25
 559.75 335.50 282.50 319.25  357.50 278.25 261.25 249.75  257.75 233.50 197.25 186.25  217.50 177.50 160.75 304.75
 579.25 355.25 315.75 331.50  377.50 299.00 262.75 252.00  284.75 235.25 198.75 189.00  218.50 178.75 161.50 305.25
 599.00 355.50 317.25 332.75  384.25 308.25 266.00 256.75  289.00 237.25 201.75 190.25  222.00 179.50 162.00 306.00
 618.25 378.75 317.50 333.50  404.75 312.00 271.00 261.75  291.25 240.25 203.75 190.75  225.50 181.25 163.00 306.25
 638.50 379.00 317.50 334.00  410.75 316.75 273.00 265.00  295.00 246.00 205.00 192.50  226.75 183.00 164.75 307.25
 664.50 413.00 349.00 402.00  433.75 348.50 318.00 312.75  321.50 284.75 272.50 312.25  263.00 241.25 288.25 308.00
 684.25 415.00 349.75 406.50  437.00 351.25 322.75 327.00  326.25 293.50 278.00 325.00  270.00 245.25 292.00 308.25
 703.50 434.50 361.75 408.75  457.75 356.00 329.00 338.50  329.25 294.75 284.50 329.00  273.75 249.25 295.75 308.75
 722.50 435.00 362.75 413.00  458.25 360.75 334.25 341.75  334.00 297.50 287.25 333.25  274.25 252.75 298.50 309.00
 742.50 455.25 395.25 415.00  477.50 383.25 337.25 345.25  357.75 299.50 288.50 335.00  276.00 254.50 301.50 309.50
 762.75 455.75 397.25 417.25  481.75 386.50 339.75 353.50  362.75 301.25 291.00 340.25  277.50 258.00 304.25 309.50
 783.75 479.50 397.25 419.25  501.25 391.25 341.50 357.50  366.75 304.50 293.50 343.50  280.00 259.75 305.00 310.25
 803.75 480.00 397.25 419.50  502.50 396.00 343.50 365.25  372.00 308.00 294.75 345.00  283.50 261.50 306.25 310.50
 827.25 509.75 430.00 485.00  522.50 417.75 368.25 371.75  395.50 340.25 295.75 347.75  320.25 262.25 309.00 311.00
 847.00 511.00 431.25 494.75  523.00 423.50 380.25 374.50  399.25 348.25 298.50 350.00  325.50 264.75 309.25 311.25
 866.25 530.25 441.50 502.50  543.00 430.50 392.25 378.00  402.25 353.50 300.25 350.50  329.75 265.25 310.25 311.25
 885.25 530.50 442.75 505.50  546.25 431.75 397.75 381.00  408.00 356.75 302.00 352.50  333.25 268.75 310.75 311.50
 905.50 549.75 476.75 506.50  566.75 456.25 398.75 384.25  432.50 359.75 303.75 353.00  335.50 269.75 311.75 312.00
 925.75 551.25 478.25 507.00  572.25 461.50 401.00 391.75  440.25 361.25 305.50 354.75  337.50 272.25 312.00 312.50
 944.75 574.00 478.75 507.00  593.50 465.00 404.25 394.00  441.00 364.75 307.50 355.50  339.00 274.50 313.75 312.75
 965.25 574.25 478.75 507.25  595.50 470.25 409.00 397.00  443.50 367.50 309.75 357.75  340.75 276.00 314.50 313.25
 987.25 605.00 511.75 552.75  617.75 500.75 455.50 456.50  468.50 401.25 371.25 360.00  379.25 331.00 315.50 313.25
 1006.50 605.50 512.00 558.75  621.25 505.50 458.50 465.75  471.50 409.00 377.25 362.00  383.50 340.25 316.25 313.75
 1025.75 625.25 519.00 560.25  640.50 507.50 461.25 469.75  474.00 414.25 378.25 363.25  386.75 343.00 317.50 314.00
 1044.50 625.50 519.75 569.75  643.00 513.25 464.75 475.00  480.00 418.00 383.25 364.00  388.25 348.00 318.50 314.50
 1063.75 645.00 551.00 579.50  662.50 535.25 469.50 479.75  505.75 421.25 385.25 367.00  391.00 350.00 319.50 315.00
 1083.50 645.00 553.25 585.25  664.50 541.25 472.75 485.25  507.50 423.50 387.00 369.50  394.25 351.50 320.50 315.25
 1103.50 667.75 553.25 587.25  683.75 546.00 477.50 490.25  511.75 426.00 391.25 371.25  395.75 353.25 321.25 315.50
 1123.75 668.00 553.75 590.25  685.00 553.00 479.75 498.75  514.50 429.25 394.25 372.50  398.50 354.00 322.00 315.75
 1146.50 701.25 585.75 651.00  704.50 576.00 515.75 510.50  541.75 466.25 396.50 373.50  439.25 355.75 322.50 316.00
 1165.50 702.75 588.75 657.25  709.00 581.50 522.75 515.50  544.75 472.00 398.25 375.50  440.75 358.00 323.50 316.50
 1184.75 722.75 596.25 661.00  728.50 587.00 528.25 517.50  547.75 474.50 401.50 375.75  445.00 359.25 325.00 316.75
 1203.75 722.75 600.25 663.50  731.75 590.75 530.50 518.50  553.25 476.50 402.50 377.75  445.75 360.00 326.25 316.75
 1222.75 742.75 634.25 665.00  751.75 614.50 532.50 523.25  581.25 478.75 403.75 379.25  446.25 362.50 327.00 317.25
 1243.50 744.00 636.25 671.75  755.25 617.75 535.50 526.25  582.50 483.00 404.00 380.50  448.25 363.25 327.25 318.00
 1264.75 768.25 636.50 675.25  776.00 625.25 538.50 529.75  586.00 485.50 405.75 382.00  450.25 364.25 328.25 319.75
 1284.75 768.50 636.50 676.50  780.25 629.25 540.50 533.00  592.00 489.25 408.00 383.75  453.00 366.25 330.00 321.00
